City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
90,Ewa Beach,21.32,-158.01,80.6,61,20,8.05,Clouds,2020-08-02 19:01:43
91,New Norfolk,-42.78,147.06,46.0,85,96,4.92,Rain,2020-08-02 19:09:21
92,Souillac,-20.52,57.52,69.8,73,75,17.22,Clouds,2020-08-02 19:07:27
93,Dayong,25.02,118.29,82.4,83,20,4.47,Clouds,2020-08-02 19:09:22
94,Lapuan,6.14,125.7,78.91,81,100,6.64,Rain,2020-08-02 19:09:22
95,Necochea,-38.55,-58.74,54.0,82,74,8.01,Clouds,2020-08-02 19:09:22
96,Humaita,-7.51,-63.02,98.19,19,28,4.09,Clouds,2020-08-02 19:09:22
97,Imbituba,-28.24,-48.67,77.0,53,4,10.29,Clear,2020-08-02 19:03:47
98,Gazanjyk,39.24,55.52,91.81,13,0,11.9,Clear,2020-08-02 19:09:22
99,Cabo San Lucas,22.89,-109.91,95.0,49,20,10.29,Clouds,2020-08-02 19:05:59
100,Bengkulu,-3.8,102.27,76.01,91,32,5.97,Rain,2020-08-02 19:07:22
101,Umm Lajj,25.02,37.27,88.74,63,1,5.28,Clear,2020-08-02 19:09:23
102,Kropotkin,45.44,40.58,65.82,60,11,5.01,Clouds,2020-08-02 19:09:23
103,Tasiilaq,65.61,-37.64,50.0,61,0,14.99,Clear,2020-08-02 19:09:23
104,Los Llanos De Aridane,28.66,-17.92,75.99,78,20,16.11,Clouds,2020-08-02 19:09:23
105,Vestmannaeyjar,63.44,-20.27,51.8,87,75,20.8,Clouds,2020-08-02 19:07:40
106,Saskylakh,71.92,114.08,60.73,74,43,4.85,Rain,2020-08-02 19:08:17
107,Clyde River,70.47,-68.59,60.8,51,75,8.05,Clouds,2020-08-02 19:07:54
108,Kruisfontein,-34.0,24.73,65.7,27,0,9.51,Clear,2020-08-02 19:07:47
109,Bambous Virieux,-20.34,57.76,69.8,73,75,17.22,Clouds,2020-08-02 19:08:08
110,Saldanha,-33.01,17.94,59.0,72,0,2.24,Clear,2020-08-02 19:08:00
111,Izumo,35.37,132.77,78.8,94,75,3.36,Clouds,2020-08-02 19:01:42
112,Aklavik,68.22,-135.01,51.8,93,90,6.93,Clouds,2020-08-02 19:07:27
113,Coos Bay,43.37,-124.22,77.0,77,1,9.17,Clear,2020-08-02 19:09:24
114,Upington,-28.45,21.26,64.4,20,0,5.82,Clear,2020-08-02 19:09:24
115,Nuuk,64.18,-51.72,48.2,93,90,4.7,Clouds,2020-08-02 19:07:24
116,Surt,31.21,16.59,80.62,78,0,8.99,Clear,2020-08-02 19:09:24
117,Kununurra,-15.77,128.73,55.4,43,92,4.59,Clouds,2020-08-02 19:09:24
118,Ahuimanu,21.44,-157.84,82.0,69,75,9.17,Clouds,2020-08-02 19:09:25
119,Koygorodok,60.45,51.0,49.05,96,100,6.69,Clouds,2020-08-02 19:09:25
120,Cidreira,-30.18,-50.21,65.41,64,100,8.93,Clouds,2020-08-02 19:07:44
121,Meulaboh,4.14,96.13,78.01,79,100,2.57,Clouds,2020-08-02 19:07:56
122,Port Alfred,-33.59,26.89,72.95,24,0,8.95,Clear,2020-08-02 19:07:25
123,Nouadhibou,20.93,-17.03,75.2,78,0,25.28,Clear,2020-08-02 19:07:51
124,Ostrovnoy,68.05,39.51,49.86,86,100,11.03,Clouds,2020-08-02 19:09:25
125,Santa Quiteria,-4.33,-40.16,93.11,33,34,8.86,Clouds,2020-08-02 19:09:25
126,Mayumba,-3.43,10.66,72.75,80,93,6.78,Clouds,2020-08-02 19:09:25
127,Jilin,43.0,126.0,66.07,88,15,2.93,Clouds,2020-08-02 19:09:25
128,Sibut,5.72,19.07,72.36,93,100,3.96,Rain,2020-08-02 19:09:26
129,Kingaroy,-26.53,151.83,37.4,100,40,2.48,Clouds,2020-08-02 19:09:26
130,Ust-Maya,60.42,134.53,51.39,72,2,2.28,Clear,2020-08-02 19:03:48
131,Ende,-8.84,121.66,70.47,72,4,2.57,Clear,2020-08-02 19:09:26
132,Champerico,14.3,-91.92,91.4,63,20,6.93,Clouds,2020-08-02 19:00:53
133,Sanchursk,56.94,47.25,52.81,92,100,2.17,Clouds,2020-08-02 19:09:26
134,Pacific Grove,36.62,-121.92,68.0,68,75,8.05,Clouds,2020-08-02 19:07:30
135,Puerto Ayacucho,5.66,-67.62,86.0,66,40,6.93,Clouds,2020-08-02 19:09:26
136,Tuktoyaktuk,69.45,-133.04,48.2,81,90,16.11,Rain,2020-08-02 19:03:06
137,Longyearbyen,78.22,15.64,50.0,81,20,2.24,Clouds,2020-08-02 19:08:08
138,Tommot,58.96,126.29,51.44,80,100,3.74,Clouds,2020-08-02 19:03:15
139,Krasavino,60.96,46.48,48.97,94,0,5.41,Clear,2020-08-02 19:09:27
140,Ilulissat,69.22,-51.1,50.0,61,20,5.82,Clouds,2020-08-02 19:08:03
141,Kaitangata,-46.28,169.85,50.0,85,100,3.83,Clouds,2020-08-02 19:07:17
142,Zyryanka,65.75,150.85,54.48,66,25,5.44,Clouds,2020-08-02 19:01:44
143,Hirara,24.8,125.28,83.52,82,100,33.87,Rain,2020-08-02 19:03:05
144,Silver City,32.77,-108.28,89.6,19,1,4.7,Clear,2020-08-02 19:05:06
145,Maragogi,-9.01,-35.22,76.24,76,96,13.8,Clouds,2020-08-02 19:08:09
146,Bayan,46.08,127.4,71.01,99,100,4.76,Rain,2020-08-02 19:05:09
147,Asau,46.43,26.4,57.99,86,0,0.78,Clear,2020-08-02 19:08:33
148,Creel,27.75,-107.63,75.42,32,0,14.14,Clear,2020-08-02 19:09:28
149,Qaqortoq,60.72,-46.03,55.4,71,100,5.82,Drizzle,2020-08-02 19:01:57
150,Vila Do Maio,15.13,-23.22,84.2,79,20,12.75,Clouds,2020-08-02 19:09:28
151,Provideniya,64.38,-173.3,45.64,62,100,10.76,Clouds,2020-08-02 19:08:02
152,Rosarito,32.33,-117.03,82.4,51,40,16.11,Clouds,2020-08-02 19:09:28
153,Salinopolis,-0.61,-47.36,82.76,74,5,11.12,Rain,2020-08-02 19:09:28
154,Hambantota,6.12,81.12,77.0,100,75,3.36,Clouds,2020-08-02 19:09:28
155,Kodiak,57.79,-152.41,57.2,76,1,5.82,Clear,2020-08-02 19:07:30
156,Kaeo,-35.1,173.78,55.99,3,100,3.0,Clouds,2020-08-02 19:07:22
157,Mnogovershinnyy,53.94,139.92,48.09,100,92,4.65,Clouds,2020-08-02 19:09:29
158,Ribeira Grande,38.52,-28.7,75.2,69,20,8.05,Clouds,2020-08-02 19:07:43
